ID,?Refuted,Time,Counterexample,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times,AST size,nodes changed
37,False,0.503894,,18,17,0.47058823529411764,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",[0.009822],5,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
38,False,0.301097,,3,2,0.5,"[1, 4]","[6, 6]",[0.013105],6,[2]
39,False,19.792826,,3,2,0.5,"[1, 4]","[10, 10]",[0.017526],10,[2]
40,False,,,,,,,,,,
41,False,,,,,,,,,,
42,False,0.149856,,2,1,1.0,[2],[12],[0.01167],12,[]
43,False,,,,,,,,,,
44,False,,,,,,,,,,
45,True,0.122384,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [None, None, None, 796], [None, None, '28', 796], [None, None, None, 797]], 'department': [['dept_name', 'building', 'budget'], [None, None, None], [None, None, None], [None, None, None]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [None, None, None, None], [None, None, None, None], [None, None, None, None]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'instructor'], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [None, None, None, None, None, None], [None, None, None, None, None, None], [None, None, None, None, None, None]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [None, None, None, None], [None, None, None, None], [None, None, None, None]]}",4,2,0.5,"[3, 9]","[9, 9]","[0.009432, 0.015362]",9,"[4, 8]"
46,False,0.286835,,4,3,0.3333333333333333,"[1, 2, 4]","[6, 6, 6]",[0.011099],6,"[2, 2]"
47,False,0.243662,,4,3,0.3333333333333333,"[1, 2, 2]","[6, 6, 6]",[0.01013],6,"[2, 2]"
48,False,0.502811,,5,4,0.25,"[1, 2, 3, 10]","[10, 10, 10, 10]",[0.015277],10,"[2, 2, 3]"
49,False,0.37397,,3,2,0.5,"[5, 10]","[10, 10]",[0.01209],10,[5]
50,False,0.316321,,3,2,0.5,"[1, 4]","[6, 6]",[0.0122],6,[2]
51,True,0.316476,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [34, 35, 48, 36], [None, 38, 52, 39], [31, None, 48, None]], 'department': [['dept_name', 'building', 'budget'], [None, 48, 48], [48, 29, None], [52, None, 41]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [None, None, 72, 52], [49, 51, 50, 48], [None, None, 73, 52]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [48, 48, 48, 48, 48, 48], [48, 48, 48, 48, 48, 48], [48, 48, 48, 48, 48, 48]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [48, 48, 48, 48, 48, 48], [48, 48, 48, 48, 48, 48], [48, 48, 48, 48, 48, 48]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [48, 48, 48, 48, 48], [48, 48, 48, 48, 48], [48, 48, 48, 48, 48]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [48, 48, 48, 48], [48, 48, 48, 48], [48, 48, 48, 48]]}",3,1,0.0,[2],[8],"[0.012536, 0.045223]",8,[3]
52,False,0.971471,,3,2,0.5,"[2, 3]","[8, 8]",[0.013578],8,[3]
53,False,,,,,,,,,,
54,True,0.565171,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [103, 103, 48, 103], [None, None, 105, 1432], [None, 52, 104, None]], 'department': [['dept_name', 'building', 'budget'], [103, 103, None], [104, 42, -554], [105, 44, 910]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [103, 103, 103, 103], [103, 103, 103, 103], [103, 103, 103, 103]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [None, 30, None, 906, 103, None], [None, 34, None, -558, 103, 36], [None, 38, None, -558, 103, 40]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [103, 103, 103, 103, 103, 103], [103, 103, 103, 103, 103, 103], [103, 103, 103, 103, 103, 103]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [103, 103, 103, 103, 103], [103, 103, 103, 103, 103], [103, 103, 103, 103, 103]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [103, 103, 103, 103], [103, 103, 103, 103], [103, 103, 103, 103]]}",4,2,0.5,"[2, 8]","[8, 8]","[0.013953, 0.038996]",8,"[3, 6]"
55,False,,,,,,,,,,
56,False,,,,,,,,,,
57,False,0.198126,,2,1,1.0,[2],[12],[0.012537],12,[]
58,False,,,,,,,,,,
59,True,0.022378,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [None, 6, 13, 4], [10, None, 14, 4], [10, None, 10, None]], 'department': [['dept_name', 'building', 'budget'], [10, 10, 10], [10, 10, 10], [10, 10, 10]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [10, 10, 10, 10], [10, 10, 10, 10], [10, 10, 10, 10]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10], [10, 10, 10, 10, 10, 10]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [10, 10, 10, 10, 10], [10, 10, 10, 10, 10], [10, 10, 10, 10, 10]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [10, 10, 10, 10], [10, 10, 10, 10], [10, 10, 10, 10]]}",1,0,,[],[],[0.010734],3,[]
60,True,0.146433,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [-669, None, 17, 18], [-669, None, 24, 25], [176, 32, 26, 27]], 'department': [['dept_name', 'building', 'budget'], [-669, -669, -669], [-669, -669, -669], [-669, -669, -669]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [-669, -669, -669, -669], [-669, -669, -669, -669], [-669, -669, -669, -669]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [None, -669, 20, 2010, 21, 22]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [-669, -669, -669, -669, -669, -669], [-669, -669, -669, -669, -669, -669], [-669, -669, -669, -669, -669, -669]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [-669, -669, -669, -669, -669], [-669, -669, -669, -669, -669], [-669, -669, -669, -669, -669]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [-669, -669, -669, -669], [-669, -669, -669, -669], [-669, -669, -669, -669]]}",3,1,0.0,[8],[8],"[0.012114, 0.027354]",8,[7]
61,True,0.15698,"{'course': [['course_id', 'title', 'dept_name', 'credits']], 'department': [['dept_name', 'building', 'budget']], 'instructor': [['id', 'name', 'salary', 'dept_name'], [323, 16, None, None], [-413, 32, None, None]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [-119, None, None, None, None, None], [324, None, None, None, None, None]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id']], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade']], 'student': [['id', 'name', 'dept_name', 'tot_cred']]}",3,1,0.0,[7],[7],"[0.01252, 0.027694]",7,[7]
62,False,,,,,,,,,,
63,True,0.108681,"{'course': [['course_id', 'title', 'dept_name', 'credits'], [None, 23, 24, -387], [25, None, 32, -388]], 'department': [['dept_name', 'building', 'budget'], [-387, -387, -387], [-387, -387, -387], [-387, -387, -387]], 'instructor': [['id', 'name', 'salary', 'dept_name'], [-387, -387, -387, -387], [-387, -387, -387, -387], [-387, -387, -387, -387]], 'teaches': [['id', 'course_id', 'sec_id', 'year', 'semester', 'instructor'], [-387, -387, -387, -387, -387, -387], [-387, -387, -387, -387, -387, -387], [-387, -387, -387, -387, -387, -387]], 'section': [['course_id', 'sec_id', 'year', 'building', 'room_number', 'time_slot_id'], [-387, -387, -387, -387, -387, -387], [-387, -387, -387, -387, -387, -387], [-387, -387, -387, -387, -387, -387]], 'takes': [['id', 'course_id', 'sec_id', 'year', 'grade'], [-387, -387, -387, -387, -387], [-387, -387, -387, -387, -387], [-387, -387, -387, -387, -387]], 'student': [['id', 'name', 'dept_name', 'tot_cred'], [-387, -387, -387, -387], [-387, -387, -387, -387], [-387, -387, -387, -387]]}",3,1,0.0,[10],[10],"[0.008749, 0.016737]",10,[9]
