Experiment_ID,Benchmark_ID,00_Distribution,00_Error,00_Integrity,00_SIS,01_Distribution,01_Error,01_Integrity,01_SIS,02_Distribution,02_Error,02_Integrity,02_SIS,03_Distribution,03_Error,03_Integrity,03_SIS,04_Distribution,04_Error,04_Integrity,04_SIS,05_Distribution,05_Error,05_Integrity,05_SIS,06_Distribution,06_Error,06_Integrity,06_SIS,07_Distribution,07_Error,07_Integrity,07_SIS,08_Distribution,08_Error,08_Integrity,08_SIS,09_Distribution,09_Error,09_Integrity,09_SIS,10_Distribution,10_Error,10_Integrity,10_SIS,11_Distribution,11_Error,11_Integrity,11_SIS,12_Distribution,12_Error,12_Integrity,12_SIS,13_Distribution,13_Error,13_Integrity,13_SIS,14_Distribution,14_Error,14_Integrity,14_SIS,15_Distribution,15_Error,15_Integrity,15_SIS,Error,Time,best_fuzz,best_sis,?Solved
25,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,,1.62,0.0,0.0,True
26,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.59,0.0,0.0,True
27,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.64,0.0,0.0,True
28,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.78,0.0,0.0,True
29,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.85,0.0,0.0,True
30,spider_bak-entertainment_awards-0012.txt,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.69,1.0,0.0,True
31,spider_bak-entertainment_awards-0012.txt,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,1.94,1.0,0.0,True
32,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.93,0.0,0.0,True
33,spider_bak-entertainment_awards-0012.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.96,0.0,0.0,True
34,spider_bak-cre_Docs_and_Epenses-0020.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.75,0.0,25.0,False
35,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,,1.18,0.0,0.0,True
36,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.11,0.0,25.0,False
37,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.14,0.0,0.0,True
38,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.18,0.0,0.0,True
39,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.33,0.0,25.0,False
40,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,1.31,0.0,0.0,True
41,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.09,0.0,0.0,True
42,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.22,0.0,25.0,False
43,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.21,0.0,25.0,False
44,spider_bak-company_office-0003.txt,50,,Valid,25.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,,1.25,1.0,0.0,True
45,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.37,0.0,25.0,False
46,spider_bak-company_office-0003.txt,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.28,1.0,0.0,True
47,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,,1.21,0.0,0.0,True
48,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.41,0.0,25.0,False
49,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.63,0.0,0.0,True
50,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.58,0.0,25.0,False
51,spider_bak-company_office-0003.txt,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,50,,Valid,25.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,"25,25",,Valid,0.0,,1.81,0.0,0.0,True
52,spider_bak-company_office-0003.txt,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,50,,Valid,25.0,,1.65,0.0,25.0,False
